entry_time,exit_time,dir,entry,exit,units,pnl,reason,equity
2026-04-14 15:30,2026-04-15 10:30,Long,17518.7,17418.7,3,-603.72,SL,1451.2
2026-04-15 12:15,2026-04-16 12:00,Short,17395.24,17295.24,2,397.52,TP1,1848.72
2026-04-15 12:15,2026-04-16 13:30,Short,17395.24,17195.24,1,398.76,TP2,2247.48
2026-04-20 11:15,2026-04-20 12:45,Short,16770.48,16670.48,2,397.52,TP1,2645.0
2026-04-20 11:15,2026-04-21 11:15,Short,16770.48,16870.48,1,-201.24,SL,2443.76
2026-04-23 11:15,2026-04-23 13:30,Short,16947.76,17047.76,3,-603.72,SL,1840.04
2026-04-23 13:30,2026-04-23 14:45,Long,17059.55,16959.55,3,-603.72,SL,1236.32
2026-04-24 11:00,2026-04-24 13:30,Long,16968.77,16868.77,3,-603.72,SL,632.6
2026-04-28 10:45,2026-04-28 11:15,Long,16805.09,16705.09,3,-603.72,SL,28.88
2026-04-28 12:15,2026-04-28 13:30,Long,16764.61,16664.61,3,-603.72,SL,-574.84
2026-04-29 15:15,2026-04-30 10:00,Long,16744.57,16644.57,3,-603.72,SL,-1178.56
2026-04-30 12:30,2026-04-30 14:45,Short,16541.18,16441.18,2,397.52,TP1,-781.04
2026-04-30 12:30,2026-05-04 11:45,Short,16541.18,16641.18,1,-201.24,SL,-982.28
2026-05-04 13:15,2026-05-04 14:00,Long,16704.24,16604.24,3,-603.72,SL,-1586.0
2026-05-04 14:00,2026-05-04 15:45,Short,16587.23,16487.23,2,397.52,TP1,-1188.48
2026-05-04 14:00,2026-05-05 14:30,Short,16587.23,16387.23,1,398.76,TP2,-789.72
2026-05-06 10:15,2026-05-06 11:30,Long,16516.96,16416.96,3,-603.72,SL,-1393.44
2026-05-06 12:30,2026-05-06 14:30,Long,16523.82,16423.82,3,-603.72,SL,-1997.16
2026-05-08 13:00,2026-05-11 12:15,Short,16337.79,16237.79,2,397.52,TP1,-1599.64
2026-05-08 13:00,2026-05-11 13:00,Short,16337.79,16137.79,1,398.76,TP2,-1200.88
2026-05-11 14:45,2026-05-11 15:45,Short,16157.22,16257.22,3,-603.72,SL,-1804.6
2026-05-12 12:00,2026-05-12 15:30,Long,16327.82,16227.82,3,-603.72,SL,-2408.32
2026-05-12 15:45,2026-05-13 11:45,Short,16272.56,16372.56,3,-603.72,SL,-3012.04
2026-05-13 11:45,2026-05-13 14:15,Long,16414.03,16514.03,2,397.52,TP1,-2614.52
2026-05-13 11:45,2026-05-15 11:00,Long,16414.03,16314.03,1,-201.24,SL,-2815.76
2026-05-15 14:00,2026-05-18 13:45,Short,16329.6,16429.6,3,-603.72,SL,-3419.48
2026-05-20 11:30,2026-05-20 13:15,Long,16606.56,16706.56,2,397.52,TP1,-3021.96
2026-05-20 11:30,2026-05-20 14:45,Long,16606.56,16806.56,1,398.76,TP2,-2623.2
